                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0272,                 2.6703,                 1.2399,                0.00517,                0.88571,                 0.3282,                0.24629,                 1.1216,                  3.361,                 1.1369,                 0.0829,                 0.0019,                 0.0019
                      1,                0.96216,                 1.9173,                 1.1955,                0.87916,                0.31189,                0.59672,                0.37408,                 1.2796,                 3.0935,                 1.2132,               0.064707,              0.0037069,              0.0037069
                      2,                 1.0359,                 1.5784,                 1.1955,                0.88756,                0.45115,                0.57841,                0.40129,                  1.266,                 2.4781,                 1.2439,               0.046316,              0.0053159,              0.0053159
                      3,                 1.0177,                 1.4122,                 1.1936,                0.65858,                0.44093,                0.51722,                0.37643,                 1.2645,                 2.3359,                 1.2915,               0.027727,              0.0067268,              0.0067268
                      4,                 1.0181,                  1.341,                 1.1832,                0.58178,                0.42857,                0.47679,                0.31042,                 1.4118,                 2.2748,                 1.4867,              0.0089398,              0.0079398,              0.0079398
                      5,                0.98886,                 1.2438,                 1.1737,                0.66657,                    0.5,                0.48601,                0.32123,                 1.4398,                 2.2409,                 1.4301,               0.007525,               0.007525,               0.007525
                      6,                 1.0017,                  1.251,                 1.1935,                0.54018,                 0.4867,                 0.4902,                0.31331,                 1.5083,                 2.0872,                  1.561,               0.007525,               0.007525,               0.007525
                      7,                0.99728,                 1.2025,                 1.1892,                0.65791,                0.44286,                 0.5286,                0.36021,                 1.3823,                 2.0644,                 1.4493,                0.00703,                0.00703,                0.00703
                      8,                0.94804,                   1.13,                 1.1561,                 0.6357,                0.54847,                0.57218,                  0.373,                 1.3871,                 1.9003,                  1.383,               0.006535,               0.006535,               0.006535
                      9,                0.93218,                 1.0723,                 1.1341,                0.52155,                0.62294,                0.54353,                0.33248,                 1.4876,                 1.8899,                 1.5032,                0.00604,                0.00604,                0.00604
                     10,                0.88504,                 1.0551,                  1.123,                0.80322,                0.51429,                 0.6109,                0.37642,                 1.4138,                 1.9118,                 1.5392,               0.005545,               0.005545,               0.005545
                     11,                0.89196,                 1.0133,                 1.1026,                0.73917,                0.47143,                0.57751,                0.35759,                  1.446,                 1.8952,                 1.4724,                0.00505,                0.00505,                0.00505
                     12,                0.85167,                 0.9091,                 1.0962,                 0.6186,                    0.5,                0.53894,                0.34294,                 1.3638,                 1.9616,                 1.3906,               0.004555,               0.004555,               0.004555
                     13,                0.83197,                0.92984,                 1.0771,                0.62849,                0.60422,                0.58296,                0.37211,                 1.4936,                 1.9357,                 1.4655,                0.00406,                0.00406,                0.00406
                     14,                0.81086,                0.87258,                 1.0771,                0.79048,                0.58571,                0.63833,                0.39476,                 1.4535,                 1.8074,                 1.5402,               0.003565,               0.003565,               0.003565
                     15,                0.80469,                0.85479,                 1.0615,                0.67771,                0.58571,                0.62368,                0.37934,                 1.4083,                 1.8443,                 1.4519,                0.00307,                0.00307,                0.00307
                     16,                0.77635,                0.83411,                 1.0577,                0.72679,                0.55714,                0.61065,                0.40304,                 1.3292,                 1.8316,                 1.4076,               0.002575,               0.002575,               0.002575
                     17,                0.77027,                0.81285,                 1.0381,                0.78811,                 0.5845,                0.62902,                0.41859,                 1.3294,                 1.7164,                 1.4021,                0.00208,                0.00208,                0.00208
                     18,                 0.7578,                0.78613,                 1.0289,                0.70331,                0.60962,                0.62207,                 0.4154,                 1.2898,                 1.6261,                 1.3531,               0.001585,               0.001585,               0.001585
                     19,                0.74842,                0.76053,                 1.0308,                0.70209,                0.58571,                0.64029,                0.43714,                  1.271,                 1.6016,                 1.3309,                0.00109,                0.00109,                0.00109
