                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0214,                 2.6745,                  1.219,                0.00508,                0.87143,                0.36747,                0.25454,                 1.2012,                 3.4201,                  1.211,                 0.0829,                 0.0019,                 0.0019
                      1,                0.95271,                  1.774,                 1.1733,                0.68068,                0.58571,                0.59602,                0.38569,                 1.2128,                  2.924,                 1.1702,               0.064707,              0.0037069,              0.0037069
                      2,                0.95677,                  1.419,                 1.1327,                0.91644,                0.31339,                0.54058,                0.35522,                 1.2735,                 2.6663,                 1.2469,               0.046316,              0.0053159,              0.0053159
                      3,                 0.9686,                 1.2959,                 1.1466,                0.84473,                 0.4664,                0.62704,                0.42623,                 1.2882,                 2.3995,                 1.2813,               0.027727,              0.0067268,              0.0067268
                      4,                0.99827,                 1.2726,                 1.1505,                0.74042,                0.51429,                0.55822,                0.35649,                 1.3504,                 2.1944,                 1.3839,              0.0089398,              0.0079398,              0.0079398
                      5,                0.93287,                 1.1206,                 1.1166,                0.75465,                0.32857,                0.45203,                0.29761,                 1.4363,                 2.6232,                 1.5207,               0.007525,               0.007525,               0.007525
                      6,                0.94544,                 1.1069,                 1.1154,                0.73484,                0.58571,                0.59352,                0.39983,                 1.4518,                 2.0061,                 1.4156,               0.007525,               0.007525,               0.007525
                      7,                0.92381,                 1.0829,                 1.1085,                0.67693,                0.42857,                0.47521,                0.31839,                 1.4812,                 2.2473,                 1.5129,                0.00703,                0.00703,                0.00703
                      8,                0.89311,                 1.0102,                 1.1058,                0.80941,                0.42478,                0.53821,                0.34099,                  1.558,                 2.0156,                 1.5404,               0.006535,               0.006535,               0.006535
                      9,                0.88597,                 1.0041,                 1.0982,                0.53223,                 0.5202,                 0.5407,                0.34759,                 1.4988,                 2.0186,                 1.5639,                0.00604,                0.00604,                0.00604
                     10,                0.88351,                0.94153,                 1.0882,                 0.7516,                    0.5,                0.59366,                0.38013,                  1.431,                 1.9099,                 1.4666,               0.005545,               0.005545,               0.005545
                     11,                0.85286,                0.90016,                 1.0703,                0.58429,                0.62857,                0.57577,                0.40358,                 1.3783,                  1.743,                 1.4292,                0.00505,                0.00505,                0.00505
                     12,                0.79716,                0.86479,                 1.0642,                0.72841,                0.51429,                0.59548,                 0.3976,                 1.4358,                 1.7864,                 1.4771,               0.004555,               0.004555,               0.004555
                     13,                0.79028,                0.83744,                 1.0514,                 0.6667,                0.54294,                0.59384,                 0.3875,                 1.4137,                 1.7097,                 1.4879,                0.00406,                0.00406,                0.00406
                     14,                0.76518,                0.82025,                 1.0338,                0.68997,                0.60412,                0.63596,                0.40611,                 1.4491,                 1.6614,                 1.4971,               0.003565,               0.003565,               0.003565
                     15,                0.75519,                0.77823,                 1.0404,                0.71272,                0.49624,                0.59202,                0.39884,                 1.4429,                  1.812,                 1.4432,                0.00307,                0.00307,                0.00307
                     16,                0.72875,                0.76411,                 1.0186,                0.67015,                    0.5,                0.57317,                0.38227,                 1.4466,                  1.811,                 1.4868,               0.002575,               0.002575,               0.002575
                     17,                0.72094,                0.75399,                 1.0142,                0.73023,                 0.5414,                0.60288,                0.39935,                 1.4269,                 1.7136,                 1.5344,                0.00208,                0.00208,                0.00208
                     18,                0.69068,                0.70092,                0.98662,                0.71872,                0.52857,                0.60156,                0.40808,                 1.4416,                 1.7156,                  1.533,               0.001585,               0.001585,               0.001585
                     19,                 0.6944,                0.69742,                0.99413,                0.72268,                0.48571,                0.58614,                0.39804,                 1.3748,                 1.7646,                 1.4893,                0.00109,                0.00109,                0.00109
